Category: All categories

Week,mass shootings: (Worldwide),gun control: (Worldwide)
2017-02-19,1,8
2017-02-26,1,10
2017-03-05,1,9
2017-03-12,1,7
2017-03-19,1,7
2017-03-26,1,9
2017-04-02,1,8
2017-04-09,1,8
2017-04-16,1,8
2017-04-23,1,9
2017-04-30,1,8
2017-05-07,1,8
2017-05-14,1,7
2017-05-21,1,5
2017-05-28,1,5
2017-06-04,1,6
2017-06-11,4,11
2017-06-18,1,5
2017-06-25,1,4
2017-07-02,1,4
2017-07-09,<1,3
2017-07-16,1,3
2017-07-23,<1,4
2017-07-30,1,3
2017-08-06,1,3
2017-08-13,1,3
2017-08-20,<1,3
2017-08-27,<1,4
2017-09-03,1,4
2017-09-10,1,5
2017-09-17,1,6
2017-09-24,1,6
2017-10-01,68,100
2017-10-08,9,28
2017-10-15,4,17
2017-10-22,3,15
2017-10-29,4,14
2017-11-05,31,35
2017-11-12,8,22
2017-11-19,3,11
2017-11-26,4,16
2017-12-03,4,15
2017-12-10,3,12
2017-12-17,2,7
2017-12-24,2,4
2017-12-31,2,5
2018-01-07,2,8
2018-01-14,2,7
2018-01-21,4,9
2018-01-28,2,8
2018-02-04,2,9
2018-02-11,2,9
