Category: All categories

Week,Larry Nassar: (Worldwide),Simone Biles: (Worldwide)
2017-02-19,2,2
2017-02-26,<1,2
2017-03-05,<1,2
2017-03-12,<1,2
2017-03-19,<1,3
2017-03-26,<1,2
2017-04-02,<1,2
2017-04-09,<1,4
2017-04-16,<1,4
2017-04-23,<1,3
2017-04-30,<1,2
2017-05-07,<1,3
2017-05-14,<1,5
2017-05-21,<1,2
2017-05-28,<1,1
2017-06-04,<1,1
2017-06-11,<1,1
2017-06-18,<1,1
2017-06-25,<1,1
2017-07-02,<1,1
2017-07-09,1,2
2017-07-16,<1,1
2017-07-23,<1,1
2017-07-30,<1,1
2017-08-06,<1,1
2017-08-13,<1,1
2017-08-20,<1,2
2017-08-27,<1,1
2017-09-03,<1,1
2017-09-10,<1,1
2017-09-17,<1,1
2017-09-24,<1,1
2017-10-01,<1,1
2017-10-08,<1,1
2017-10-15,5,1
2017-10-22,<1,1
2017-10-29,<1,1
2017-11-05,2,1
2017-11-12,2,1
2017-11-19,4,1
2017-11-26,<1,1
2017-12-03,2,1
2017-12-10,<1,2
2017-12-17,1,1
2017-12-24,<1,1
2017-12-31,<1,1
2018-01-07,<1,1
2018-01-14,38,7
2018-01-21,100,4
2018-01-28,48,4
2018-02-04,16,9
2018-02-11,4,3
